scheme_domain,service_standards_and_timelines
Hostels,Notification for admissions — June; Advisory committee meetings & finalization — July; Supply of note books — before July; Supply of dresses — 4 pairs/student/year; Disbursement of cosmetic charges — every month
Post-Matric Scholarships,Notification for fresh scholarships — June; 1st & 2nd quarter renewal disbursement — April–June / June–August (subject to funds); 1st spell fresh disbursement — July & Sep–Oct (subject to funds); 3rd quarter renewal & 2nd spell fresh disbursement — July & Sep–Nov (subject to funds)
Ambedkar Overseas Vidya Nidhi,Notification for fresh scholarships — Jan/Feb & Aug/Sep; Interviews with applicants — April & November; SLSC meetings & finalization — April & November; 1st instalment (Rs. 10 lakhs) — after landing permit/I-94 (subject to funds); 2nd instalment (Rs. 10 lakhs) — on production of 1st semester results (subject to funds)
Coaching for Competitive Examinations,"Notifications issued for: Civil Services (Prelims), IES/IFS, IRS, Banking, Groups I & II, GATE"
Administration of Justice (SC Advocates),Notification issued — June; Selection committee meeting & selection — July
Inter-Caste Marriage Incentive,Enquiry and sanction — within 30 days of filing the application
Kalyana Lakshmi Pathakam,Enquiry and sanction — within 30 days of filing the application
