section_name,details
Demographics & Administrative Setup,"The Scheduled Castes population in Telangana is approximately 54,08,800, accounting for 15.45% of the total population (2011 Census). 59 sub-castes are listed as Scheduled Castes in Telangana. The Department is headed by the Commissioner/Director, SC Development Department, assisted by 1 Additional Director, 2 Joint Directors, 3 Deputy Directors, 1 Assistant Director, 1 Accounts Officer and other staff. At district level, District Collectors implement schemes with the assistance of District SC Development Officers; 61 Assistant SC Development Officers function at divisional level, and 950 Hostel Welfare Officers manage the SC hostels."
Vision,"To bring the Scheduled Castes socially, educationally and economically on par with other developed communities and to achieve a just and egalitarian society."
Mission,"The mission of the department is to ensure better opportunities for the poor people belonging to Scheduled Castes to utilize educational facilities, to eradicate poverty and eliminate current inequalities that prevent the Scheduled Castes from realizing their full potential and thus establishing an egalitarian society."
Services Provided to Citizens,Boarding and accommodation for Pre-matric and Post-matric SC students through 854 hostels; Post-Matric Scholarships for SC students; Pre-Matric Scholarships for SC students; Pre-Matric Scholarships for children of those engaged in unclean occupations; Ambedkar Overseas Vidya Nidhi for Masters/Ph.D. studies abroad; Coaching for TOEFL/IELTS/GRE/GMAT for admission to reputed foreign universities; Coaching for SC students appearing for competitive examinations; Training programme for SC Advocates; Incentives for Inter-Caste Marriage; Kalyana Lakshmi Pathakam for SC girls; Monetary relief and free legal aid to victims of atrocities on SCs and STs; Payment of electricity bills for SC households consuming 0–101 units per month.
Availability of Forms,Hostel Admission Forms — HWO/ASCDO; Post-Matric Scholarship Forms — Online; Overseas Scholarship Forms — Online; Coaching Programme Application (Study Circles) — Online; Kalyana Lakshmi Forms — Online.
Consultations with Users,Meetings are held with parents of hostel boarders once every two months at respective hostels.
